Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Intensity	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
P23193;P23193-2;E5RIS7;B7Z4S1;Q15560-2;Q15560;E5RJ93;Q5JRI7	P23193;P23193-2	6;5;2;2;2;2;1;1	6;5;2;2;2;2;1;1	6;5;2;2;2;2;1;1	Transcription elongation factor A protein 1 ;Isoform 2 of Transcription elongation factor A protein 1 	8	6	6	6	22.3	22.3	22.3	33.969	301	301;280;111;117;272;299;90;246	0	47.571	62190000	6				1119	2417;3222;8594;10387;10552;13116	True;True;True;True;True;True	2477;3292;8786;10691;10858;13483	4112;5467;14663;17738;17739;18029;22267	4705;6226;16715;20185;20186;20530;25304	4705;6226;16715;20185;20530;25304		
P23246;P23246-2;H0Y9K7;H0Y9U2	P23246;P23246-2	30;27;13;2	30;27;13;2	29;26;13;2	Splicing factor, proline- and glutamine-rich ;Isoform Short of Splicing factor, proline- and glutamine-rich 	4	30	30	29	37.8	37.8	36.6	76.149	707	707;669;223;88	0	289.15	2485600000	66				1120	382;810;1118;1619;1769;1770;1819;2086;2735;3211;3632;3649;3821;4824;5004;6717;6718;7790;8137;8138;9858;9958;11304;11550;11551;11615;12175;12176;12427;15655	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	391;831;832;1146;1655;1810;1811;1860;2134;2799;3281;3710;3728;3904;4928;5109;6869;6870;7964;8319;8320;10094;10210;11627;11875;11876;11877;11944;12521;12522;12779;16085	649;650;1383;1384;1385;1386;1387;1903;1904;2759;2760;3001;3002;3083;3084;3538;3539;4653;4654;4655;5451;5452;6115;6116;6117;6118;6149;6424;8113;8114;8115;8116;8426;11388;11389;11390;11391;13314;13886;13887;13888;13889;16745;16939;16940;19259;19669;19670;19671;19672;19673;19674;19789;20710;20711;20712;20713;21125;21126;26592;26593	732;733;1579;1580;1581;1582;1583;2186;2187;3174;3175;3438;3439;3530;3531;4044;4045;4046;4047;5301;5302;5303;6210;6211;6942;6943;6944;6945;6978;7297;7298;9256;9257;9258;9259;9260;9603;9604;13025;13026;13027;13028;15184;15828;15829;15830;15831;15832;15833;19066;19286;19287;19288;21914;22366;22367;22368;22369;22370;22371;22491;23529;23530;23531;23532;24001;24002;24003;30241;30242	733;1580;2186;3175;3438;3439;3530;4046;5303;6210;6944;6978;7297;9260;9604;13026;13027;15184;15828;15833;19066;19286;21914;22368;22370;22491;23530;23531;24001;30241	244;245	357;557
P23284	P23284	13	13	13	Peptidyl-prolyl cis-trans isomerase B 	1	13	13	13	61.1	61.1	61.1	23.742	216	216	0	107.81	1219500000	32				1121	2094;2397;2452;5748;5985;6062;12123;12923;13721;14402;14422;14423;14560	True;True;True;True;True;True;True;True;True;True;True;True;True	2142;2457;2512;5868;6109;6188;12468;13283;14103;14801;14825;14826;14967	3552;3553;4083;4084;4165;9733;9734;9735;10126;10259;10260;20634;20635;21936;23305;23306;24501;24502;24544;24545;24546;24782;24783	4060;4061;4675;4676;4677;4762;11083;11084;11085;11524;11674;11675;11676;23439;23440;23441;24920;26493;26494;26495;26496;27889;27890;27891;27892;27893;27944;27945;27946;27947;28207;28208;28209	4060;4677;4762;11084;11524;11675;23441;24920;26496;27893;27945;27947;28207		
P23368-2;P23368	P23368-2;P23368	4;4	4;4	4;4	Isoform 2 of NAD-dependent malic enzyme, mitochondrial ;NAD-dependent malic enzyme, mitochondrial 	2	4	4	4	9.8	9.8	9.8	53.586	479	479;584	0	31.23	22023000	3				1122	4903;7866;8129;10904	True;True;True;True	5007;8043;8311;11219	8263;13456;13866;18638	9427;15349;15808;21231	9427;15349;15808;21231		
P23381;P23381-2;G3V3H8;G3V3Y5;G3V277;G3V423;G3V3P2;G3V227;G3V5U1;G3V456;H0YJP3;G3V2Y7;G3V5W1;G3V3S7;G3V3X0;G3V2F2;G3V3R3;G3V4S4;G3V313;G3V339;G3V2C0;G3V4C7;G3V4N8	P23381;P23381-2;G3V3H8;G3V3Y5	14;13;7;7;5;4;4;4;4;4;4;3;2;2;2;1;1;1;1;1;1;1;1	14;13;7;7;5;4;4;4;4;4;4;3;2;2;2;1;1;1;1;1;1;1;1	14;13;7;7;5;4;4;4;4;4;4;3;2;2;2;1;1;1;1;1;1;1;1	Tryptophan--tRNA ligase, cytoplasmic ;Isoform 2 of Tryptophan--tRNA ligase, cytoplasmic ;Tryptophan--tRNA ligase, cytoplasmic (Fragment) ;Tryptophan--tRNA ligase, cytoplasmic (Fragment) 	23	14	14	14	39.3	39.3	39.3	53.165	471	471;430;223;226;212;140;150;152;153;154;185;177;107;114;124;55;58;63;68;70;86;97;104	0	116.49	238440000	20				1123	592;916;1426;2022;2228;2246;2333;3523;4753;4764;4765;5728;7413;10197	True;True;True;True;True;True;True;True;True;True;True;True;True;True	606;939;1458;2069;2279;2299;2390;3600;4854;4865;4866;5847;7582;10484	1001;1002;1553;1554;2433;3429;3430;3776;3777;3813;3965;5958;7974;7975;7995;7996;7997;9696;12641;12642;17384;17385	1142;1143;1779;1780;1781;2788;3921;3922;4318;4319;4364;4540;6770;9099;9100;9122;9123;9124;11037;14452;14453;19777;19778	1142;1781;2788;3922;4318;4364;4540;6770;9100;9122;9123;11037;14453;19778		
P23396;P23396-2;E9PL09;E9PPU1;F2Z2S8;H0YCJ7;H0YEU2;H0YF32;E9PQ96;E9PJH4;E9PK82;E9PSF4;E9PQX2;H0YES8	P23396;P23396-2;E9PL09;E9PPU1;F2Z2S8;H0YCJ7;H0YEU2	26;24;23;17;15;14;13;12;10;10;10;7;4;1	26;24;23;17;15;14;13;12;10;10;10;7;4;1	25;23;22;17;15;14;12;12;10;10;10;6;4;1	40S ribosomal protein S3 ;Isoform 2 of 40S ribosomal protein S3 ;40S ribosomal protein S3 ;40S ribosomal protein S3 ;40S ribosomal protein S3 ;40S ribosomal protein S3 (Fragment) ;40S ribosomal protein S3 (Fragment) 	14	26	26	25	84.8	84.8	81.1	26.688	243	243;259;231;158;117;135;171;123;91;115;128;103;44;33	0	226.95	3643200000	68				1124	254;390;1593;1891;3017;3174;3175;3788;3884;4235;4242;4452;4679;4871;6527;6700;7189;7467;7468;8669;8670;11170;11387;11430;13006;13566	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	255;399;1629;1935;3085;3243;3244;3870;3967;4325;4332;4333;4546;4777;4778;4975;6670;6852;7354;7636;7637;8861;8862;11492;11711;11755;13369;13946	420;421;660;661;2718;2719;3212;3213;5137;5138;5387;5388;5389;5390;5391;5392;6368;6369;6535;6536;7070;7071;7079;7080;7081;7082;7439;7440;7838;7839;7840;8205;8206;11064;11065;11366;12220;12725;12726;12727;14780;14781;14782;19051;19052;19387;19388;19472;22073;22074;23047	477;478;744;745;3132;3133;3680;3681;5858;5859;5860;5861;6140;6141;6142;6143;6144;6145;6146;7232;7233;7234;7235;7425;7426;7427;8034;8035;8036;8044;8045;8046;8047;8048;8049;8456;8457;8942;8943;8944;8945;8946;8947;9360;9361;9362;12646;12647;12648;12649;13001;13985;14539;14540;14541;14542;14543;16845;16846;16847;21688;21689;22056;22057;22160;25076;25077;25078;26194	477;744;3132;3681;5860;6141;6144;7234;7426;8036;8049;8456;8944;9362;12648;13001;13985;14539;14543;16845;16847;21688;22056;22160;25076;26194	246;247	157;236
P23434	P23434	2	2	2	Glycine cleavage system H protein, mitochondrial 	1	2	2	2	17.3	17.3	17.3	18.884	173	173	0	18.309	85280000	4				1125	10234;11776	True;True	10530;12108	17466;17467;20045;20046	19883;19884;22759;22760	19883;22759		
P23526;P23526-2	P23526;P23526-2	19;16	19;16	19;16	Adenosylhomocysteinase ;Isoform 2 of Adenosylhomocysteinase 	2	19	19	19	42.8	42.8	42.8	47.716	432	432;404	0	151.74	1002200000	38				1126	570;838;1405;3364;4806;6236;7333;11100;11397;11479;11797;12138;13884;14010;14833;14874;15446;15923;15958	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	583;860;1437;3439;4910;6368;7501;11421;11721;11804;12131;12484;14273;14401;15250;15291;15873;16360;16395	964;1431;2387;5702;5703;8076;8077;8078;8079;10558;10559;12505;12506;18950;19415;19557;20083;20084;20657;20658;20659;20660;23601;23602;23806;23807;25230;25231;25309;25310;26255;27052;27053;27109;27110	1088;1633;2734;6475;6476;9216;9217;9218;9219;9220;12048;12049;14306;14307;21583;22095;22250;22804;22805;23469;23470;23471;23472;26851;26852;26853;27085;27086;28719;28720;28813;28814;28815;29870;30739;30740;30741;30813;30814	1088;1633;2734;6475;9216;12048;14306;21583;22095;22250;22804;23470;26852;27085;28720;28815;29870;30741;30814		
P23528;G3V1A4;E9PP50;E9PK25;E9PQB7;E9PLJ3;E9PS23	P23528;G3V1A4;E9PP50;E9PK25;E9PQB7;E9PLJ3;E9PS23	14;13;13;13;11;7;7	14;13;13;13;11;7;7	9;8;8;8;6;6;7	Cofilin-1 ;Cofilin 1 (Non-muscle), isoform CRA_a ;Cofilin-1 (Fragment) ;Cofilin-1 ;Cofilin-1 (Fragment) ;Cofilin-1 (Fragment) ;Cofilin-1 (Fragment) 	7	14	14	9	78.3	78.3	53	18.502	166	166;149;159;204;122;79;90	0	154.97	2089800000	37				1127	1324;1558;2950;3360;5494;7092;7127;8208;10012;10013;10078;10530;10531;15536	True;True;True;True;True;True;True;True;True;True;True;True;True;True	1355;1593;3017;3435;5608;7253;7291;8394;10271;10272;10345;10346;10835;10836;15966	2259;2661;2662;2663;5022;5023;5697;9238;9239;12045;12110;14005;14006;17040;17041;17167;17168;17169;17170;17171;17988;17989;17990;17991;17992;26396;26397	2600;3065;3066;3067;3068;3069;5725;5726;5727;6470;10517;10518;13784;13854;15960;15961;15962;15963;19403;19404;19405;19543;19544;19545;19546;19547;20483;20484;20485;20486;20487;20488;20489;30024;30025;30026;30027	2600;3067;5726;6470;10518;13784;13854;15960;19404;19405;19545;20483;20486;30026	248	74
P23786	P23786	3	3	3	Carnitine O-palmitoyltransferase 2, mitochondrial 	1	3	3	3	4.9	4.9	4.9	73.776	658	658	0	18.49	5124200	3				1128	855;8897;11898	True;True;True	878;9097;12235	1457;15156;20262	1664;17292;23010	1664;17292;23010		
P23921;E9PD78;E9PL69;F5H861;E9PRY9;E9PJ62;E9PP77;H0YCY7	P23921;E9PD78;E9PL69;F5H861	13;12;10;9;1;1;1;1	13;12;10;9;1;1;1;1	13;12;10;9;1;1;1;1	Ribonucleoside-diphosphate reductase large subunit ;Ribonucleoside-diphosphate reductase ;Ribonucleoside-diphosphate reductase large subunit ;Ribonucleoside-diphosphate reductase large subunit 	8	13	13	13	23.5	23.5	23.5	90.069	792	792;695;570;454;37;69;75;130	0	91.357	191570000	16				1129	1883;3286;6195;9455;10852;12368;12630;13130;13583;13815;14707;14780;15058	True;True;True;True;True;True;True;True;True;True;True;True;True	1927;3358;6325;9672;11165;12720;12983;13497;13963;14202;15117;15192;15475	3202;5569;5570;10496;16063;18545;21028;21029;21466;22286;22287;23071;23487;23488;25024;25139;25594	3670;6333;6334;11970;18293;21129;23890;23891;24389;25326;25327;26221;26726;26727;28485;28610;29135	3670;6333;11970;18293;21129;23890;24389;25327;26221;26726;28485;28610;29135		
P24534;C9JZW3;F2Z2G2;F8WF65	P24534	8;3;2;1	8;3;2;1	8;3;2;1	Elongation factor 1-beta 	4	8	8	8	47.6	47.6	47.6	24.763	225	225;123;68;29	0	79.51	592340000	16				1130	1341;7802;9592;12098;12383;12564;12565;12810	True;True;True;True;True;True;True;True	1372;7976;9810;12443;12735;12916;12917;12918;13168	2284;13331;16298;16299;20594;20595;21059;21357;21358;21359;21360;21361;21749	2625;15203;18555;18556;18557;23388;23389;23390;23931;24259;24260;24261;24262;24263;24264;24706	2625;15203;18557;23390;23931;24259;24260;24706	249	155
P24539;Q5QNZ2	P24539;Q5QNZ2	9;8	9;8	9;8	ATP synthase F(0) complex subunit B1, mitochondrial ;ATP synthase F(0) complex subunit B1, mitochondrial 	2	9	9	9	30.1	30.1	30.1	28.908	256	256;195	0	70.766	153340000	12				1131	5733;5734;7791;10718;12502;12503;15679;15685;15686	True;True;True;True;True;True;True;True;True	5852;5853;7965;11029;12854;12855;16109;16115;16116	9703;9704;9705;9706;13315;18319;21251;21252;26625;26633;26634	11045;11046;11047;11048;15185;15186;20870;24140;24141;30276;30285;30286	11045;11048;15185;20870;24140;24141;30276;30285;30286		
P24666;G5E9R5;P24666-4;P24666-3;P24666-2;F2Z2Q9;D3YTI2	P24666;G5E9R5;P24666-4;P24666-3;P24666-2	5;4;4;3;3;2;2	5;4;4;3;3;2;2	5;4;4;3;3;2;2	Low molecular weight phosphotyrosine protein phosphatase ;Acid phosphatase 1, soluble, isoform CRA_d ;Isoform 4 of Low molecular weight phosphotyrosine protein phosphatase ;Isoform 3 of Low molecular weight phosphotyrosine protein phosphatase ;Isoform 2 of	7	5	5	5	38	38	38	18.042	158	158;80;112;124;158;70;85	0	42.627	112990000	7				1132	5528;5971;12411;12733;14091	True;True;True;True;True	5642;6094;12763;13087;14483	9307;10108;21101;21102;21614;21615;23952;23953	10590;11506;23975;23976;24547;24548;27249;27250	10590;11506;23975;24547;27249		
P24752;H0YEL7;G3XAB4;E9PRQ6;E9PKF3	P24752	17;5;5;4;1	17;5;5;4;1	17;5;5;4;1	Acetyl-CoA acetyltransferase, mitochondrial 	5	17	17	17	49.6	49.6	49.6	45.199	427	427;136;162;141;54	0	197.25	704820000	26				1133	224;569;2667;3533;3814;5133;5134;5227;6163;6916;7959;10046;10426;11113;11532;13513;14067	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	225;582;2729;3610;3896;5241;5242;5335;6291;7075;8139;10309;10731;11434;11857;13893;14459	371;963;4525;4526;4527;5972;5973;6410;6411;8635;8636;8637;8780;10436;10437;10438;11732;11733;13601;17114;17815;17816;18967;19640;22970;23913	420;1087;5159;5160;5161;5162;6785;6786;7280;7281;7282;9839;9840;9841;9989;11904;11905;11906;13436;13437;15509;19488;20281;20282;21600;22336;26113;27205	420;1087;5159;6786;7280;9839;9840;9989;11905;13437;15509;19488;20281;21600;22336;26113;27205		
P24928;Q6NX41	P24928;Q6NX41	2;1	2;1	2;1	DNA-directed RNA polymerase II subunit RPB1 ;DNA-directed RNA polymerase 	2	2	2	2	1.4	1.4	1.4	217.17	1970	1970;566	0	11.313	13732000	1				1134	13754;15236	True;True	14136;15655	23358;25900	26555;29484	26555;29484		
P25205;B4DWW4;J3KQ69;Q7Z6P5	P25205;B4DWW4;J3KQ69	31;30;27;5	31;30;27;5	31;30;27;5	DNA replication licensing factor MCM3 ;DNA replication licensing factor MCM3 ;DNA replication licensing factor MCM3 	4	31	31	31	45.4	45.4	45.4	90.98	808	808;853;762;328	0	245.92	670360000	52				1135	620;705;723;926;1773;1834;2134;2346;2582;2636;3094;3377;4485;4719;5221;5369;6234;8477;8735;9370;10285;11517;12131;12462;12697;12721;12865;13333;13764;13949;14978	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	634;720;740;949;1814;1875;2183;2403;2643;2698;3163;3452;4579;4818;5329;5480;6366;8666;8928;9582;10583;11842;12476;12814;13050;13075;13225;13704;14146;14339;15395	1044;1045;1193;1225;1569;1570;3005;3109;3618;3619;3988;4383;4384;4385;4386;4479;4480;5256;5720;7495;7496;7906;8769;9020;10554;10555;14459;14460;14898;14899;15918;17559;17560;19619;19620;20645;20646;21177;21178;21561;21599;21833;21834;22644;22645;23375;23700;23701;25467	1190;1191;1353;1398;1796;1797;3442;3556;3557;4133;4134;4564;5008;5009;5010;5011;5109;5110;5995;6494;8524;8525;8526;9022;9978;10266;12037;12038;12039;16488;16489;16490;16996;16997;18122;19981;19982;22314;22315;23452;23453;24061;24062;24492;24531;24796;24797;25740;25741;26574;26956;26957;26958;28996	1191;1353;1398;1796;3442;3557;4133;4564;5010;5110;5995;6494;8526;9022;9978;10266;12037;16488;16997;18122;19982;22315;23452;24061;24492;24531;24797;25740;26574;26957;28996		
P25325;P25325-2;B1AH49	P25325;P25325-2;B1AH49	6;6;5	6;6;5	6;6;5	3-mercaptopyruvate sulfurtransferase ;Isoform 2 of 3-mercaptopyruvate sulfurtransferase ;Sulfurtransferase 	3	6	6	6	31	31	31	33.178	297	297;317;224	0	42.821	57038000	7				1136	605;1041;1235;1956;12500;13833	True;True;True;True;True;True	619;1066;1265;2002;12852;14220	1022;1763;2106;3325;3326;21249;23515	1167;2038;2416;3809;3810;24138;26757	1167;2038;2416;3810;24138;26757		
P25398	P25398	9	9	9	40S ribosomal protein S12 	1	9	9	9	58.3	58.3	58.3	14.515	132	132	0	98.797	1347600000	25				1137	2451;7375;7616;8186;9498;9499;11092;12872;15208	True;True;True;True;True;True;True;True;True	2511;7543;7787;8371;9716;9717;11412;11413;13232;15627	4163;4164;12583;12584;13007;13008;13009;13970;13971;16137;16138;16139;16140;16141;16142;18935;18936;18937;21846;21847;21848;21849;25848;25849	4759;4760;4761;14391;14392;14843;14844;14845;15923;15924;18375;18376;18377;18378;18379;18380;21567;21568;21569;24810;24811;24812;24813;29420;29421	4761;14392;14844;15924;18376;18379;21567;24812;29420	250	60
P25685;B4DX52;M0R080;M0R128;M0R2Y8;M0R1D6;M0QZD0;M0QYT3;M0QXK0	P25685;B4DX52;M0R080	8;6;4;2;2;2;2;2;2	8;6;4;2;2;2;2;2;2	8;6;4;2;2;2;2;2;2	DnaJ homolog subfamily B member 1 ;DnaJ homolog subfamily B member 1 ;DnaJ homolog subfamily B member 1 (Fragment) 	9	8	8	8	28.5	28.5	28.5	38.044	340	340;240;183;79;80;91;107;116;162	0	53.59	50718000	12				1138	2596;2781;4840;7489;10758;13253;13761;15710	True;True;True;True;True;True;True;True	2657;2846;4944;7658;11069;13624;14143;16141	4410;4731;4732;8147;12770;18375;22504;23369;23370;26675;26676;26677	5036;5384;5385;9295;14587;20934;25578;26567;26568;30332;30333;30334	5036;5384;9295;14587;20934;25578;26568;30334		
P25705;P25705-2;P25705-3;K7EK77;K7ENJ4;K7ERX7;K7EJP1;K7EQH4;K7ESA0	P25705;P25705-2;P25705-3;K7EK77	32;31;29;16;14;13;11;7;2	32;31;29;16;14;13;11;7;2	32;31;29;16;14;13;11;7;2	ATP synthase subunit alpha, mitochondrial ;Isoform 2 of ATP synthase subunit alpha, mitochondrial ;Isoform 3 of ATP synthase subunit alpha, mitochondrial ;ATP synthase subunit alpha, mitochondrial (Fragment) 	9	32	32	32	56.6	56.6	56.6	59.75	553	553;503;531;207;199;205;144;111;77	0	323.31	3288500000	71				1139	1152;1514;2669;2980;3092;3447;4800;5014;5015;5431;5432;5463;6391;6779;6820;7985;8501;9352;9680;10970;11270;11544;12676;12677;13097;13151;13606;13607;14294;14709;15179;15180	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	1180;1549;2731;3048;3161;3523;4903;5119;5120;5544;5545;5577;6526;6932;6973;8165;8690;9562;9901;11288;11289;11593;11869;13029;13030;13464;13518;13986;13987;14691;15119;15597;15598	1962;1963;2589;2590;4530;4531;5078;5253;5254;5833;8063;8064;8443;8444;8445;8446;9126;9127;9128;9129;9189;9190;9191;10836;10837;11505;11506;11507;11570;13641;13642;14504;15881;15882;16455;18744;18745;18746;19201;19202;19663;21536;21537;22235;22236;22237;22319;23105;23106;23107;24309;25027;25028;25795;25796;25797;25798	2254;2255;2256;2977;2978;2979;5167;5168;5169;5793;5991;5992;5993;6630;9201;9202;9622;9623;9624;9625;9626;10389;10390;10391;10392;10393;10463;10464;10465;10466;12386;12387;12388;13176;13177;13178;13251;15550;15551;16535;18085;18086;18741;21355;21356;21357;21358;21852;21853;21854;22360;24466;24467;25266;25267;25268;25269;25270;25364;26257;26258;26259;26260;26261;27675;28488;28489;28490;29358;29359;29360;29361;29362;29363;29364	2256;2978;5169;5793;5993;6630;9201;9622;9626;10391;10393;10465;12388;13176;13251;15551;16535;18085;18741;21355;21853;22360;24466;24467;25268;25364;26258;26260;27675;28490;29359;29364	251	95
P25786;P25786-2;F5GX11;B4DEV8	P25786;P25786-2;F5GX11	11;11;9;5	11;11;9;5	11;11;9;5	Proteasome subunit alpha type-1 ;Isoform Long of Proteasome subunit alpha type-1 ;Proteasome subunit alpha type-1 	4	11	11	11	48.7	48.7	48.7	29.555	263	263;269;238;164	0	103.9	470200000	21				1140	1246;3423;4251;5633;6172;6405;7087;8584;9616;10819;13557	True;True;True;True;True;True;True;True;True;True;True	1277;3499;4342;5748;6302;6542;7248;8775;9835;11131;13937	2124;2125;5798;5799;7095;7096;9508;9509;10458;10862;12033;12034;12035;14642;16343;16344;18481;18482;23035	2437;2438;6585;6586;6587;8064;8065;8066;10823;10824;11929;12420;13765;13766;13767;16691;18608;18609;21059;21060;26181	2437;6587;8066;10823;11929;12420;13766;16691;18609;21060;26181		
P25787;C9JCK5;Q6MZI6;H3BT36	P25787;C9JCK5	7;4;2;1	7;4;2;1	7;4;2;1	Proteasome subunit alpha type-2 ;Proteasome subunit alpha type-2 	4	7	7	7	40.2	40.2	40.2	25.898	234	234;164;99;48	0	66.2	395170000	10				1141	5442;5555;7328;7798;11546;12720;15891	True;True;True;True;True;True;True	5555;5670;7495;7972;11871;13074;16326	9150;9151;9361;9362;12492;12493;13327;19665;21596;21597;21598;27004	10420;10421;10647;10648;14289;14290;15198;22362;24528;24529;24530;30688	10421;10648;14289;15198;22362;24528;30688		
P25788-2;P25788;G3V4X5;G3V3W4;G3V5N4;H0YJ03	P25788-2;P25788;G3V4X5	12;12;7;2;2;2	12;12;7;2;2;2	12;12;7;2;2;2	Isoform 2 of Proteasome subunit alpha type-3 ;Proteasome subunit alpha type-3 ;Proteasome subunit alpha type-3 	6	12	12	12	48	48	48	27.647	248	248;255;180;36;54;83	0	104.02	216060000	17				1142	1529;2052;2053;5714;6300;9691;12163;12164;12344;12563;13005;14224	True;True;True;True;True;True;True;True;True;True;True;True	1564;2099;2100;5832;6434;9912;12509;12510;12695;12915;13368;14619	2610;3479;3480;9670;10684;16471;16472;16473;20697;20698;20990;20991;21355;21356;22071;22072;24185	3001;3979;3980;11007;12216;18757;18758;18759;23513;23514;23849;23850;23851;24257;24258;25074;25075;27525	3001;3979;3980;11007;12216;18757;23513;23514;23849;24258;25075;27525	252	28
P26038;V9GZ54	P26038	23;5	13;3	12;3	Moesin 	2	23	13	12	43	28.8	26.3	67.819	577	577;103	0	94.327	224030000	15				1143	778;1139;1254;1264;3343;3538;4268;4269;4631;5009;6078;6334;7088;7456;7552;8055;8540;10556;11227;11501;12881;12882;15151	True;False;True;True;True;True;False;False;True;True;False;True;True;False;True;False;True;False;False;False;True;True;False	798;1167;1285;1295;3417;3615;4359;4360;4729;5114;6205;6469;7249;7625;7722;8236;8730;10862;11549;11826;13241;13242;15569	1334;1335;1937;1938;2137;2138;2151;5670;5979;7121;7122;7123;7124;7757;8434;8435;10286;10287;10735;10736;12036;12037;12706;12707;12887;12888;13750;13751;14566;18036;18037;18038;19138;19596;19597;21861;21862;25752;25753	1525;1526;2226;2227;2228;2451;2452;2465;6443;6792;8093;8094;8095;8096;8851;9613;9614;11709;11710;11711;11712;12272;12273;13768;13769;14518;14519;14711;14712;15671;15672;15673;15674;16601;20537;20538;20539;21784;22290;22291;22292;24825;24826;29314;29315	1526;2227;2452;2465;6443;6792;8093;8095;8851;9613;11712;12272;13769;14518;14712;15674;16601;20537;21784;22290;24825;24826;29315		
P26196	P26196	10	10	10	Probable ATP-dependent RNA helicase DDX6 	1	10	10	10	28.4	28.4	28.4	54.416	483	483	0	74.44	174510000	11				1144	2255;5029;5110;6322;7709;10678;11190;11949;12057;12313	True;True;True;True;True;True;True;True;True;True	2308;5135;5218;6456;7881;10986;11512;12288;12401;12662	3825;8466;8598;10719;13178;13179;18247;19083;19084;20346;20347;20527;20528;20941	4379;9648;9801;12255;15028;15029;20786;21724;21725;23102;23103;23314;23315;23796	4379;9648;9801;12255;15029;20786;21725;23102;23314;23796		
P26232-3;P26232-2;P26232-5;P26232;C9J144;C9IZ88	P26232-3;P26232-2;P26232-5;P26232	3;3;3;3;1;1	1;1;1;1;1;1	1;1;1;1;1;1	Isoform 3 of Catenin alpha-2 ;Isoform 2 of Catenin alpha-2 ;Isoform 5 of Catenin alpha-2 ;Catenin alpha-2 	6	3	1	1	6.2	2.1	2.1	95.557	860	860;905;939;953;66;117	0.00048662	7.0413	6938800	1				1145	8009;8635;13641	False;True;False	8190;8827;14021	13687;14720;23165	15603;16776;26323	15603;16776;26323		
P26358-3;P26358;P26358-2;F5GX68;K7ENW7	P26358-3;P26358;P26358-2;F5GX68;K7ENW7	6;6;6;5;3	6;6;6;5;3	6;6;6;5;3	Isoform 3 of DNA (cytosine-5)-methyltransferase 1 ;DNA (cytosine-5)-methyltransferase 1 ;Isoform 2 of DNA (cytosine-5)-methyltransferase 1 ;Cytosine-specific methyltransferase ;DNA (cytosine-5)-methyltransferase 1 (Fragment) 	5	6	6	6	4.7	4.7	4.7	144.46	1280	1280;1616;1632;1619;389	0	36.27	23370000	6				1146	3753;4298;4327;5203;5294;12451	True;True;True;True;True;True	3834;4390;4419;5311;5403;12803	6313;7173;7221;8741;8894;21164	7167;8153;8209;9949;10119;24046	7167;8153;8209;9949;10119;24046		
P26368-2;P26368;K7ENG2	P26368-2;P26368;K7ENG2	11;11;10	11;11;10	11;11;10	Isoform 2 of Splicing factor U2AF 65 kDa subunit ;Splicing factor U2AF 65 kDa subunit ;Splicing factor U2AF 65 kDa subunit 	3	11	11	11	36.3	36.3	36.3	53.12	471	471;475;307	0	91.241	444880000	14				1147	1083;3124;4398;6044;8070;8204;10432;11576;12059;12694;15556	True;True;True;True;True;True;True;True;True;True;True	1111;3193;4492;6170;8251;8390;10737;11904;12403;13047;15986	1849;5309;5310;7343;10223;13773;13774;14001;17822;17823;19723;19724;20530;20531;21556;26430	2129;6057;6058;8343;11629;15698;15699;15700;15956;20289;20290;22422;22423;23317;23318;23319;24487;30062	2129;6057;8343;11629;15698;15956;20289;22422;23317;24487;30062		
P26373;P26373-2;J3QSB4;J3KS98;H3BTH3;H3BUK8	P26373;P26373-2;J3QSB4	13;11;8;4;3;1	13;11;8;4;3;1	13;11;8;4;3;1	60S ribosomal protein L13 ;Isoform 2 of 60S ribosomal protein L13 ;60S ribosomal protein L13 (Fragment) 	6	13	13	13	48.3	48.3	48.3	24.261	211	211;164;126;78;63;54	0	136.64	1997900000	31				1148	771;2530;2531;4629;5816;7831;10482;11024;11636;12620;13225;13994;14460	True;True;True;True;True;True;True;True;True;True;True;True;True	791;2591;2592;4727;5937;8005;8006;10787;11343;11965;12973;13594;14385;14863	1316;1317;1318;4300;4301;4302;4303;7751;7752;9855;13386;13387;13388;13389;17909;18830;18831;19818;21446;21447;22454;23782;24604;24605;24606;24607	1505;1506;1507;4919;4920;4921;4922;8842;8843;8844;8845;11218;15264;15265;15266;15267;15268;15269;20395;21445;21446;21447;22520;24363;24364;24365;25521;27057;28008;28009;28010;28011	1506;4920;4922;8843;11218;15269;20395;21445;22520;24363;25521;27057;28008	253	155
